data,feriado,dia_util,dia_util_nao_feriado
2019-08-04,false,false,false
2020-12-06,false,false,false
2022-02-26,false,false,false
2022-09-17,false,false,false
2022-10-16,false,false,false
2019-02-09,false,false,false
2019-05-26,false,false,false
2020-02-08,false,false,false
2020-07-04,false,false,false
2020-08-01,false,false,false
2020-08-30,false,false,false
2021-01-03,false,false,false
2021-02-13,false,false,false
2021-03-13,false,false,false
2021-05-22,false,false,false
2022-04-23,false,false,false
2019-12-08,false,false,false
2020-11-01,false,false,false
2021-01-16,false,false,false
2021-03-06,false,false,false
2019-03-16,false,false,false
2020-01-11,false,false,false
2020-02-29,false,false,false
2020-05-09,false,false,false
2020-06-07,false,false,false
2020-07-26,false,false,false
2021-05-08,false,false,false
2021-10-17,false,false,false
2022-03-06,false,false,false
2022-11-26,false,false,false
2019-03-31,false,false,false
2019-07-13,false,false,false
2019-10-05,false,false,false
2019-10-20,false,false,false
2020-02-01,false,false,false
2020-03-01,false,false,false
2020-05-17,false,false,false
2021-02-28,false,false,false
2021-03-14,false,false,false
2021-07-11,false,false,false
2022-08-20,false,false,false
2019-02-24,false,false,false
2019-03-23,false,false,false
2019-09-15,false,false,false
2019-09-28,false,false,false
2020-01-05,false,false,false
2020-06-13,false,false,false
2020-11-07,false,false,false
2021-08-22,false,false,false
2022-02-20,false,false,false
2022-06-11,false,false,false
2019-06-23,false,false,false
2019-07-06,false,false,false
2019-09-14,false,false,false
2020-02-09,false,false,false
2020-05-24,false,false,false
2021-12-04,false,false,false
2022-09-24,false,false,false
2019-12-22,false,false,false
2020-07-19,false,false,false
2021-09-05,false,false,false
2021-11-06,false,false,false
2022-02-19,false,false,false
2022-04-30,false,false,false
2019-04-06,false,false,false
2019-08-10,false,false,false
2021-05-02,false,false,false
2021-07-24,false,false,false
2021-08-21,false,false,false
2021-09-19,false,false,false
2021-11-27,false,false,false
2022-03-19,false,false,false
2022-03-27,false,false,false
2022-05-08,false,false,false
2022-06-05,false,false,false
2019-04-07,false,false,false
2019-05-11,false,false,false
2019-07-20,false,false,false
2020-06-27,false,false,false
2021-02-20,false,false,false
2021-06-26,false,false,false
2021-10-31,false,false,false
2022-12-04,false,false,false
2019-05-19,false,false,false
2020-02-22,false,false,false
2021-01-10,false,false,false
2021-02-27,false,false,false
2021-04-17,false,false,false
2022-04-16,false,false,false
2022-07-02,false,false,false
2022-11-12,false,false,false
2019-02-17,false,false,false
